Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,Weather,Security,Technical
2016-01-01,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,6,15,20
2016-01-03,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,7,43
2016-01-05,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,5,17,17
2016-01-07,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,16,17,42
2016-01-09,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,0,18,36
2016-01-11,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,7,12,36
2016-01-13,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,15,27
2016-01-15,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,16,13,23
2016-01-17,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,16,20
2016-01-19,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,11,17
2016-01-21,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,6,5,36
2016-01-23,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,12,26
2016-01-25,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,1,5,29
2016-01-27,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,17,5,22
2016-01-29,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,4,8,29
2016-02-01,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,13,45
2016-02-03,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,3,16,18
2016-02-05,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,17,6,22
2016-02-07,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,2,14,16
2016-02-09,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,13,6,45
2016-02-11,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,5,50
2016-02-13,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,7,26
2016-02-15,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,3,5,33
2016-02-17,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,11,8,45
2016-02-19,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,8,28
2016-02-21,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,15,13,23
2016-02-23,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,5,15,39
