Date,direction,direction1,direction2
2017-01-01,20,37,44
2017-01-02,6,60,35
2017-01-03,22,17,7
2017-01-04,22,35,15
2017-01-05,23,31,36
2017-01-06,27,36,30
2017-01-07,18,55,16
2017-01-08,10,49,10
2017-01-09,13,23,31
2017-01-10,17,19,17
2017-01-11,29,10,43
2017-01-12,29,59,35
2017-01-13,5,19,19
2017-01-14,9,11,35
2017-01-15,26,60,17
2017-01-16,29,51,37
2017-01-17,15,28,31
2017-01-18,18,17,7
2017-01-19,19,18,36
2017-01-20,22,17,19
2017-01-21,30,50,10
2017-01-22,12,59,36
2017-01-23,22,51,10
2017-01-24,9,24,23
2017-01-25,30,29,45
2017-01-26,27,32,27
2017-01-27,25,52,10
2017-01-28,16,6,41
2017-01-29,7,12,26
2017-01-30,28,43,38
2017-01-31,17,23,45
2017-02-01,29,14,7
2017-02-02,22,13,16
2017-02-03,10,19,11
2017-02-04,14,60,22
2017-02-05,21,11,45
2017-02-06,6,36,11
2017-02-07,30,25,31
2017-02-08,27,34,24
2017-02-09,13,50,24
2017-02-10,22,57,10
2017-02-11,8,59,45
2017-02-12,10,33,5
2017-02-13,12,50,45
2017-02-14,11,26,19
2017-02-15,5,13,34
2017-02-16,21,46,7
2017-02-17,14,33,13
2017-02-18,17,42,9
2017-02-19,28,45,34
2017-02-20,17,46,15
2017-02-21,21,6,18
2017-02-22,9,19,39
2017-02-23,15,8,22
2017-02-24,24,6,22
2017-02-25,26,27,17
2017-02-26,15,29,36
2017-02-27,23,11,25
2017-02-28,25,22,24
2017-03-01,19,18,21
2017-03-02,7,11,24
2017-03-03,13,55,9
2017-03-04,15,10,9
2017-03-05,20,14,17
2017-03-06,21,12,40
2017-03-07,10,41,29
2017-03-08,25,31,44
2017-03-09,19,51,37
2017-03-10,19,25,29
2017-03-11,29,9,26
2017-03-12,13,43,5
2017-03-13,26,42,26
2017-03-14,11,14,19
2017-03-15,12,43,17
2017-03-16,22,39,32
2017-03-17,7,52,15
2017-03-18,11,17,45
2017-03-19,24,17,40
2017-03-20,15,42,11
2017-03-21,24,17,24
2017-03-22,9,31,11
2017-03-23,22,25,17
2017-03-24,20,52,40
2017-03-25,29,42,26
2017-03-26,22,42,40
2017-03-27,7,49,12
2017-03-28,10,55,42
2017-03-29,25,7,29
2017-03-30,25,53,12
2017-03-31,29,5,16
2017-04-01,29,51,24
2017-04-02,9,24,17
2017-04-03,13,5,24
2017-04-04,30,16,15
2017-04-05,5,29,36
2017-04-06,8,60,27
2017-04-07,5,16,14
2017-04-08,10,35,44
2017-04-09,13,45,17
2017-04-10,19,56,27
2017-04-11,6,46,16
2017-04-12,9,22,31
2017-04-13,23,58,9
2017-04-14,21,9,25
2017-04-15,11,37,31
2017-04-16,12,58,11
2017-04-17,14,52,15
2017-04-18,25,36,43
2017-04-19,10,26,12
2017-04-20,11,11,44
2017-04-21,28,26,22
2017-04-22,14,45,39
2017-04-23,29,17,26
2017-04-24,23,26,29
2017-04-25,18,56,24
2017-04-26,18,48,21
2017-04-27,13,27,8
2017-04-28,8,35,26
2017-04-29,23,9,10
