Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,Weather,Security,Technical
2016-01-01,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,29,35
2016-01-02,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,9,17,36
2016-01-03,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,1,29,20
2016-01-04,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,17,24,34
2016-01-05,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,20,14,27
2016-01-06,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,24,38
2016-01-07,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,3,13,26
2016-01-08,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,19,40
2016-01-09,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,20,20,20
2016-01-10,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,16,22,30
2016-01-11,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,16,22,39
2016-01-12,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,14,13,25
2016-01-13,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,4,26,30
2016-01-14,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,10,39
2016-01-15,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,29,27
2016-02-01,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,9,25,34
2016-02-02,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,13,30,36
2016-02-03,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,14,10,25
2016-02-04,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,14,13,39
2016-02-05,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,4,12,23
2016-02-06,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,9,23,32
2016-02-07,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,13,29,27
2016-02-08,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,1,18,31
2016-02-09,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,3,30,32
2016-02-10,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,11,15,33
2016-02-11,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,15,24,31
2016-02-12,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,7,19,28
2016-02-13,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,17,16,34
2016-02-14,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,3,17,32
2016-02-15,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,26,28
2016-03-01,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,20,20,22
2016-03-02,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,14,10,37
2016-03-03,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,21,33
2016-03-04,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,20,22,32
2016-03-05,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,24,23
2016-03-06,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,11,20,37
2016-03-07,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,4,15,40
2016-03-08,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,16,30,33
2016-03-09,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,16,28,21
2016-03-10,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,19,22
2016-03-11,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,12,38
2016-03-12,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,20,22,28
2016-03-13,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,11,29,32
2016-03-14,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,18,15,38
2016-03-15,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,20,20,22
2016-04-01,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,19,20,23
2016-04-02,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,17,24,36
2016-04-03,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,18,18,22
2016-04-04,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,21,36
2016-04-05,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,9,24,31
2016-04-06,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,18,15,21
2016-04-07,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,11,21
2016-04-08,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,18,24,21
2016-04-09,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,11,12,20
2016-04-10,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,18,15,34
2016-04-11,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,4,28,24
2016-04-12,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,5,18,40
2016-04-13,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,19,10,25
2016-04-14,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,25,35
2016-04-15,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,7,16,31
2016-05-01,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,20,26,32
2016-05-02,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,4,18,26
2016-05-03,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,15,25,20
2016-05-04,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,15,29
2016-05-05,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,20,23,38
2016-05-06,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,11,22
2016-05-07,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,13,20
2016-05-08,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,5,10,27
2016-05-09,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,20,30,21
2016-05-10,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,16,15,33
2016-05-11,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,6,25,31
2016-05-12,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,23,39
2016-05-13,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,18,22,22
2016-05-14,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,11,24
2016-05-15,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,19,38
2016-06-01,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,20,21,24
2016-06-02,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,27,31
2016-06-03,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,5,23,26
2016-06-04,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,5,14,25
2016-06-05,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,11,16,29
2016-06-06,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,3,23,24
2016-06-07,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,4,19,20
2016-06-08,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,19,17,23
2016-06-09,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,5,25,24
2016-06-10,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,2,19,29
2016-06-11,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,13,10,21
2016-06-12,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,3,13,23
2016-06-13,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,19,18,22
2016-06-14,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,15,19,33
2016-06-15,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,2,21,37
2016-07-01,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,15,36
2016-07-02,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,7,19,38
2016-07-03,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,17,13,38
2016-07-04,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,19,27,32
2016-07-05,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,5,22,31
2016-07-06,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,24,31
2016-07-07,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,20,12,35
