Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,Weather,Security,Technical
2016-01-01,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,29,35
2016-01-03,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,9,17,36
2016-01-05,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,1,29,20
2016-01-07,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,17,24,34
2016-01-09,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,20,14,27
2016-01-11,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,24,38
2016-01-13,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,3,13,26
2016-01-15,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,19,40
2016-01-17,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,20,20,20
2016-01-19,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,16,22,30
2016-01-21,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,16,22,39
2016-01-23,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,14,13,25
2016-01-25,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,4,26,30
2016-01-27,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,10,39
2016-01-29,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,29,27
2016-02-01,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,9,25,34
